RANK,PROPER NAME,GREEK LETTER NAME,CLASS,DIST (LY),APP MAG,ABS MAG,RAD VEL (km/s),VEL (km/s),REMARKS,,
62,Denebola,Beta Leo,A3V,36,2.14,1.92,-0.2,27,"Vega system, circumstellar dust",,
63,Almach,Gamma And,K3II+(B8V+A0V),355,2.16,...,-12,36,"Classic vis. binary mags 2.26, 4.84; B also double, mags 5.1, 6.3; brighter spect binary; abs mag primary -2.92",,
64,Muhlifain,Gamma Cen,A1IV,130,2.17,...,-5.5,36,"Binary, identical components ave 0.94"", 84 yr period, mags 2.8, 2.9; abs mags -0.2, -0.1",,
65,Sadr,Gamma Cyg,F8Ib,1500,2.20,-6.8,-8,9,Rich part of Milky Way, slightly variable,
66,Suhail,Lambda Vel,K4Ib-II,575,2.21,-4.02,18,29,High velocity, irregular variable,
67,Mintaka,Delta Ori,B0III+O9V,915,2.23,-5.3,16,16,Close binary, distant mag 6.5 class B2V companion,
68,Alphecca,Alpha CrB,A0V,75,2.23,0.43,1.7,16,"""Gemma""; elipsing binary, G5 companion",,
69,Shedar,Alpha Cas,K0III,230,2.23,-2.00,-4,20,Possible dimmings,,
70,Eltanin,Gamma Dra,K5III,148,2.23,-1.05,-28,28,"""Zenith star,"" from which aberration of starlight found",,
71,Naos,Zeta Pup,O5Ia,970,2.25,-5.4,-24,55,Runaway star from cluster Tr 10, rapid rotation,
72,Aspidiske,Iota Car,A8Ib,690,2.25,-4.42,13,27,"Other names: Scutulum, Tureis; False Cross",,
73,Caph,Beta Cas,F2III-IV,54,2.27,1.16,11,44,Delta Sct variable, close companion,
74,Eps Sco,Epsilon Sco,K2.5III,65,2.29,0.77,-2.5,63,High velocity,,
75,Eps Cen,Epsilon Cen,B1III,375,2.30,-3.13,3,11,Beta Cep variable, faint companion,
76,Kakkab,Alpha Lup,B1.5III,550,2.30,-4.02,5,26,Beta Cep variable,,
77,Eta Cen,Eta Cen,B1.5Ve,310,2.31,-2.73,-0.2,22,"Rapid rotator; ""Be"" star with surrounding disk",,
78,Dschubba,Delta Sco,B0.3IV,400,2.32,-3.6,-7,23,"""Be"" star now in outburst",,
79,Merak,Beta UMa,A1V,79,2.37,0.43,-12,16,"Vega system, circumstellar dust; Big Dipper; UMa cluster",,
80,Ankaa,Alpha Phe,K0III,77,2.39,0.52,75,88,High velocity, low-mass companion,
81,Enif,Epsilon Peg,K2Ib,670,2.39,-4.18,5,30,Giant flare?,,
82,Kappa Sco,Kappa Sco,B1.5III,450,2.41,-3.40,-14,22,Close binary, Beta Cep variable,
83,Scheat,Beta Peg,M2.5II-III,200,2.42,-1.51,9,68,Irregular variable to bright 3rd mag,,
84,Sabik,Eta Oph,A2V+A3V,84,2.43,...,-0.9,13,"Binary mag 3.0, 3.5; abs mag 0.9, 1.4",,
85,Phecda,Gamma UMa,A0Ve,84,2.44,0.39,-13,18,"Rapid rotator, Ae (emission) star; spect binary; Big Dipper; UMa cluster",,
86,Alderamin,Alpha Cep,A7V,49,2.44,1.56,-10,15,Rapid rotator, unusually active X-ray emitter,
87,Aludra,Eta CMa,B5Ia,3200,2.45,-7.5,41,54,Distance poor, strong wind,
88,Gienah Cygni,Epsilon Cyg,K0III,72,2.46,0.74,-11,52,Distant dim companion,,
89,Gamma Cas,Gamma Cas,B0IVpe,549,2.47,-4.0,-7,21,"Classic ""Be"" (emission) star; unpredictably variable; can be much brighter",,
90,Markab,Alpha Peg,B9V,140,2.49,-0.67,-3.5,16,"Known for ""normality""; also classed as giant",,
91,Graffias,Beta Sco,B1V+B2V,530,2.50,...,-2,23,"Binary, mags 2.62, 4.92; abs mags -4.10, -1.80, 0.7 mag interstellar abs",,
92,Markeb,Kappa Vel,B2IV-V,540,2.50,-3.78,22,25,Spect binary, False Cross,
93,Menkar,Alpha Cet,M1.5III,220,2.53,-1.62,-26,37,Irregular variable,,
94,Zeta Cen,Zeta Cen,B2.5IV,385,2.55,-2.84,6.5,41,Spect binary,,
95,Zeta Oph,Zeta Oph,O9.5V,460,2.56,-4.27,-15,24,1.1 mag dust extinction, runaway star,
96,Zosma,Delta Leo,A4V,58,2.56,1.28,-20,26,Delta Sct variable,,
97,Arneb,Alpha Lep,F0Ib,1300,2.58,-5.56,24,25,Nitrogen-enhanced, state of rapid evolution,
98,Gienah,Gamma Crv,B8IIIpHgMn,165,2.59,-0.93,-4.2,39,Mercury-manganese star,,
99,Izar,Epsilon Boo,K0II-III+A2V,205,2.59,...,-17,21,"Double, abs mags -1.3, 1.1; distance, vis mags uncertain",,
100,Delta Cen,Delta Cen,B2IV,395,2.60,-3.20,11,29,"""Be"" emission (shell) star",,
101,Zubeneschamali,Beta Lib,B8V,160,2.61,-0.84,-35,42,Traditionally reputed to be green.,,
102,Ascella,Zeta Sgr,A2III+A4IV,89,2.61,...,22,22,"Close binary, mags 3.26, 3.47, abs mags 1.08, 1.29, 21 yr orbit.",,
103,Theta Aur,Theta Aur,A0pSi,173,2.62,-1.01,30,36,Alpha-2 CVn magnetic star, Binary with solar companion,
104,Phact,Alpha Col,B7IVe,270,2.64,-1.94,35,36,"""Be"" (emission) star",,
105,Sheratan,Beta Ari,A5V,60,2.64,1.33,-1.9,13,Spect binary,,
106,Kraz,Beta Crv,G5II,140,2.65,-0.51,-7.6,14,Possible weak barium star,,
107,Unukalhai,Alpha Ser,K2III,73,2.65,0.89,0.7,15,X-ray emitter, strong carbon,
108,Beta Lup,Beta Lup,B2III,524,2.68,-3.41,6.2,39,Beta Cephei variable,,
109,Ruchbah,Delta Cas,A5III-IV,99,2.68,0.26,6.7,44,Eclipsing binary (partial),,
110,Muphrid,Eta Boo,G0IV,37,2.68,2.41,-0.1,20,Super metal-rich, hot corona,
111,Lesath,Upsilon Sco,B2IV,520,2.69,-3.38,8,24,"Possible ""Be"" emisison star",,
112,Alpha Mus,Alpha Mus,B2IV-V,305,2.69,-2.30,13,23,Beta Cep variable,,
113,Mu Vel,Mu Vel,G5III+G2V,116,2.69,-0.06,6.2,15,"Mags 2.8, 5.7, uncertain; Double, abs mags 0.1, 3.0; giant flare",,
114,Al Kab,Iota Aur,K3II,510,2.69,-3.89,18,22,X-ray hybrid star,,
115,Pi Pup,Pi Pup,K3Ib,925,2.70,-4.87,16,23,In cluster Col 132, 0.3 mag interstellar abs.,
116,Kaus Media,Delta Sgr,K3III,305,2.70,-2.16,-20,29,Possible conmpanion(s), weak barium star,
117,Tarazed,Gamma Aql,K3II,460,2.72,-3.03,-2.1,11,X-ray hybrid star,,
118,Porrima,Gamma Vir,F0V+F0V,38,2.74,...,-20,26,"indentical double, mags 3.48, 3.53; abs mag 3.13, 3.18",,
119,Al Dhibain Prior,Eta Dra,G8III,88,2.74,0.59,-14,16,9th mag K1 dwarf companion,,
120,Yed Prior,Delta Oph,M0.5III,170,2.74,-0.85,-20,42,Iron-rich, non-variable standard,
121,Iota Cen,Iota Cen,A2V,59,2.75,1.48,0.1,30,Measured as bright as 2.70, dusty disk,
122,Zubenelgenubi,Alpha-2 Lib,A3IV,77,2.75,0.88,-10,17,Double, Alpha-1 5th mag F4 dwarf naked-eye companion,
123,Theta Car,Theta Car,B0Vp,440,2.76,3.11,24,28,Silicon star, brightest blue straggler,
124,Nair al Saif,Iota Ori,O9III,1300,2.77,-5.6,22,22,Odd spect. binary, origin of runaway stars Mu Col and AE Aur,
125,Kornephoros,Beta Her,G7III,148,2.77,-0.51,-26,33,X-ray emission, spect. binary,
126,Cebalrai,Beta Oph,K2III,82,2.77,0.77,-12,20,Subtle pulsations, spotted rotator, guide to Poniatowski's Bull
127,Cursa,Beta Eri,A3III,89,2.79,0.61,-9.2,17,Possible large flashes,,
128,Rastaban,Beta Dra,G2Ib-II,362,2.79,-2.43,-20,22,Double, should be Cepheid but isn't.,
129,Delta Cru,Delta Cru,B2IV,364,2.80,-2.47,22,30,Fast rotator, Beta Cephei star,
130,Beta Hyi,Beta Hyi,G2IV,24.4,2.80,3.43,23,83,High velocity, south pole star 150 BC,
131,Cor Caroli,Alpha CVn,Aop,110,2.81,0.17,-3.3,39,"Double, mags=2.9, 5.6, abs mags=0.26, 2.96; Alpha-2 magnetic",,
132,Tureis,Rho Pup,F6II,63,2.81,1.39,46,47,Brightest Delta Sct star,,
133,Zeta Her,Zeta Her,G0IV+G7V,35,2.81,2.64,70,76,"Double, mags 2.90, 5.53, abs mags 2.73, 5.36; high velocity",,
134,Kaus Borealis,Lambda Sgr,K1III,77,2.81,0.94,42,48,Modest X-ray source,,
135,Al Niyat,Tau Sco,B0V,430,2.82,-2.97,2,15,Slow rotator (or pole-on),,
136,Algenib,Gamma Peg,B2IV,333,2.83,-2.21,4.1,6.2,Beta Cep star, slow rotator (or pole-on),
137,Vindemiatrix,Epsilon Vir,G8III,102,2.83,0.35,-14,43,Strong X-ray source,,
138,Nihal,Beta Lep,G5II,159,2.84,-0.60,-14,24,Odd companion, chemically peculiar,
139,Zeta Per,Zeta Per,B1Iab,980,2.85,-5.60,20,25,1.06 mag interstellar abs, two companions,
140,Beta TrA,Beta TrA,F2III,40,2.85,2.40,0.4,26,Really a dwarf,,
141,Beta Ara,Beta Ara,K3Ib-II,603,2.85,-3.48,-0.4,23,Super metal-rich,,
142,Alpha Hyi,Alpha Hyi,F0V,71,2.86,1.16,7,28,South pole star 2900 BC,,
143,Alpha Tuc,Alpha Tuc,K3III,199,2.86,-1.06,42,48,Spectroscopic double,,
144,Alcyone,Eta Tau,B7III,430,2.87,-2.83,10,31,"Brightest of Pleiades ""Be"" (emission) star",,
145,Delta Cyg,Delta Cyg,B9.5IV+F1V,171,2.87,-0.74,-20,26,"Double star, mags 2.9, 6.3, combined uncertain",,
146,Deneb Algedi,Delta Cap,AmV,39,2.87,2.51,-6.3,23,Eclipsing binary, metallic-line Delta Scuti star,
147,Tejat,Mu Gem,M3III,232,2.88,-1.38,55,69,Variable by 25%, high velocity,
148,Epsilon Per,Epsilon Per,B0.5V,538,2.89,-3.58,1,21,Beta Cephei star, 0.38 mag dust absorption,
149,Pi Sco,Pi Sco,B1V+B2V,520,2.89,-3.38,-3,19,Spectroscopic double, distance from luminosity, 1/4 mag dust absorption
150,Al Niyat,Sigma Sco,B2III+O9V,735,2.89,-3.38,-0.4,22,Spectroscopic double, 1.3 mag dust absorption,
151,Gamma TrA,Gamma TrA,A1V,183,2.89,-0.85,-3,20,Chemically peculiar, rapid rotator,
152,Albaldah,Pi Sgr,F2II,440,2.89,-2.76,-9.8,26,Two close companions,,
153,Gomeisa,Beta CMi,B8Ve,170,2.90,-0.69,22,27,"""Be"" (emission) star",,
154,Sadalsuud,Beta Aqr,G0Ib,610,2.91,-3.46,6.5,22,Rare mid-temperature supergiant, loosly related to Enif and Sadalmelik,
155,Gamma Per,Gamma Per,G8III+A2V,218,2.93,-1.20,2.5,2.8,"Second brightest eclipsing binary, partial, 14.6 yr period",,
156,Tau Pup,Tau Pup,K1III,182,2.93,-0.80,36,42,"Spectroscopic double, 2.9- yr period",,
157,Matar,Eta Peg,G2II-III,215,2.94,-1.15,4.3,10,Quadruple star,,
158,Algorab,Delta Crv,B9.5V,88,2.95,0.80,9,33,Attractive binary,,
159,Upsilon Car,Upsilon Car,A6Ib+B3-4IV,1250?,2.95,...,14,53,"Binary, dist. from spectral classes; mags 3.02, 6.03; abs mags -5.0, -2.5; 0.35 mag dust abs.",,
160,Zaurak,Gamma Eri,M0.5III,221,2.95,-1.21,62,74,Slightly variable, high velocity,
161,Sadalmelik,Alpha Aqr,G2Ib,760,2.96,-3.88,7.5,24,Rare yellow supergiant, hybrid star,
162,Algenubi,Epsilon Leo,G1II,250,2.98,-1.45,4.3,17,Cepheid-like pulsations of 0.1 mag,,
163,Mebsuta,Epsilon Gem,G8Ib,900,2.98,-4.23,9.9,21,Frequently occulted by Moon, possible companion,
164,Deneb Okab Aus,Zeta Aql,A0V,83,2.99,0.96,-25,25,Very rapid rotation,,
165,Almaaz,Epsilon Aur,F0Iae,2000,2.99,-6.9,-2.5,7,"Weird eclipsing binary, 27 yr period; 1.0 mag interstellar abs",,
166,Alnasl,Gamma-2 Sgr,K0III,96,2.99,0.64,22,34,Gateway to Cepheid W Sgr,,
167,Zeta Tau,Zeta Tau,B2IIIpe,420,3.00,-2.53,20,22,Classic B-emission star,,
168,Beta Tri,Beta Tri,A5III,124,3.00,0.09,9.9,30,Really a dwarf, close sunlike companion,
169,Gamma Hydrae,Gamma Hya,G8III,132,3.00,-0.04,-5.4,16,A star in transition,,
170,Minkar,Epsilon Crv,K2.5III,303,3.00,-1.84,4.9,32,Somewhat metal-rich,,
171,WD0413-077,40 Eri B,DA4,-,-,11.5,-,-,White dwarf,,
172,WD0642-166,A CMa B,DA2,-,-,11.18,-,-,White dwarf,,
174,WD0736+053,A CMi B,DA0,-,-,13.1,-,-,White dwarf,,
175,WD0104-464,AX Phe,DA6,-,-,12.38,-,-,White dwarf,,
176,WD1307+354,BG CVn,DA5,-,-,12.4,-,-,White dwarf,,
177,Proxima Centauri,-,M5Ve,-,-,15.44,-,-,Rød dverg,,
178,Barnards stjerne,-,M3Ve,-,-,13.2,-,-,,,
179,-,AU Mic,M1Ve,-,-,8.82,-,-,,,
180,-,GK Per,K2,,,5.6,,,,,
181,,AA Tau,K7,,,7.1,,,,,
